日期,科室,岗位,弹性班次,时长(H),所需人数,派发人员
01月01日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月01日,B超,B超医生,08:00 - 12:00,4,2,"轮班外援_0, 轮班外援_1"
01月01日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月01日,放射,放射医生,09:00 - 11:00,2,2,"轮班外援_0, 轮班外援_1"
01月01日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月01日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月02日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月02日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月02日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月02日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月02日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月02日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月02日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月02日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月03日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月03日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月03日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月03日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月03日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月03日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月03日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月03日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月04日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月04日,B超,B超医生,08:00 - 12:00,4,2,"轮班外援_0, 轮班外援_1"
01月04日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月04日,放射,放射医生,09:00 - 11:00,2,2,"轮班外援_0, 轮班外援_1"
01月04日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月04日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月05日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月05日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月05日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
01月05日,B超,B超医生,11:00 - 12:00,1,2,"轮班外援_0, 轮班外援_1"
01月05日,放射,放射医生,00:00 - 09:00,9,1,轮班外援_0
01月05日,放射,放射医生,09:00 - 12:00,3,2,"轮班外援_0, 轮班外援_1"
01月05日,放射,放射技师,00:00 - 08:00,8,1,轮班外援_0
01月05日,放射,放射技师,08:00 - 18:00,10,2,"轮班外援_0, 轮班外援_1"
01月06日,B超,B超医生,00:00 - 08:00,8,1,轮班外援_0
01月06日,B超,B超医生,08:00 - 09:00,1,2,"轮班外援_0, 轮班外援_1"
01月06日,B超,B超医生,09:00 - 11:00,2,3,"轮班外援_0, 轮班外援_1, 轮班外援_2"
