ds,pred_cases,hour,weekday,eps_dept_desc,Type,pred_cases_total,pred_cases_key,remaining_cases,dept_ratio,order_item_desc,item_ratio,pred_project_cases,tech_minutes,doc_minutes,pred_tech_minutes,pred_doc_minutes,大分类
2026-06-01 22:00:00,0.3212527281470063,22,0,GZU OBGYN,Ultrasound,,,,,"Ultrasound , OB < 14 wks , twin fetus 孕早期 （ 小于14周 ） 超声; 双胎 ",1.0,0.3212527281470063,8.35,8.825,2.6824602800275024,2.83505532589733,超声
2026-06-01 23:00:00,0.19609202062048817,23,0,GZU OBGYN,Ultrasound,,,,,,0.0,0.0,,,,,超声
2026-06-02 00:00:00,0.8434492502652066,0,1,GZU OBGYN,Ultrasound,,,,,"Ultrasound , OB  < 14 wks , single fetus 孕早期 （ 小于14周 ） 超声 ， 单胎",1.0,0.8434492502652066,8.13333333333333,6.55,6.86005390215701,5.524592589237103,超声
2026-06-02 01:00:00,0.8998432572321177,1,1,GZU OBGYN,Ultrasound,,,,,,0.0,0.0,,,,,超声
2026-06-02 02:00:00,1.0677982733269604,2,1,GZU OBGYN,Ultrasound,,,,,,0.0,0.0,,,,,超声
2026-06-02 03:00:00,1.1199571161033888,3,1,GZU OBGYN,Ultrasound,,,,,,0.0,0.0,,,,,超声
2026-06-02 04:00:00,1.0057859041164994,4,1,GZU OBGYN,Ultrasound,,,,,,0.0,0.0,,,,,超声
2026-06-02 05:00:00,0.8377294176264272,5,1,GZU OBGYN,Ultrasound,,,,,,0.0,0.0,,,,,超声
2026-06-02 06:00:00,0.8377294176264272,6,1,GZU OBGYN,Ultrasound,,,,,,0.0,0.0,,,,,超声
2026-06-02 07:00:00,1.2112923531756126,7,1,GZU OBGYN,Ultrasound,,,,,,0.0,0.0,,,,,超声
2026-06-02 08:00:00,1.6939252364068902,8,1,GZU OBGYN,Ultrasound,,,,,Echo exam follow - up / repeat - 孕晚期胎儿超声检,0.4444444444444444,0.7528556606252845,17.525,7.175,13.19379545245811,5.401739364986416,超声
2026-06-02 08:00:00,1.6939252364068902,8,1,GZU OBGYN,Ultrasound,,,,,"Ultrasound , OB  < 14 wks , single fetus 孕早期 （ 小于14周 ） 超声 ， 单胎",0.1111111111111111,0.18821391515632113,8.13333333333333,6.55,1.5308065099380779,1.2328011442739033,超声
2026-06-02 08:00:00,1.6939252364068902,8,1,GZU OBGYN,Ultrasound,,,,,"Ultrasound , OB , NT measurement 孕早期NT测量 ， 单胎",0.1111111111111111,0.18821391515632113,17.35,6.85,3.265511427962172,1.2892653188207996,超声
